,Title,FullPath,NumPages,DocumentInfo,ProcessingTime,ProcessingTimeOCR,ProcessingTimeOCR(ms)
0,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,,,,
1,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",,,
2,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",,,
3,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",2021-06-02 11:39:24.593994,0 days 00:00:03.236499,
4,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",2021-06-02 11:44,0 days 00:00:00.003208,
5,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",2021-06-02 11:46,,0 days 00:00:03.285679
6,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",2021-06-02 11:47:13,,0 days 00:00:03.193749
7,1929__lewis___rosicrucian_principles.pdf,../../38. Rosicrucian/1929__lewis___rosicrucian_principles.pdf,225.0,"{'format': 'PDF 1.6', 'title': 'Rosicrucian principles for the home and business / by H. Spencer Lewis.', 'author': 'Lewis, H. Spencer (Harvey Spencer), 1883-1939.', 'subject': '', 'keywords': '', 'creator': 'HathiTrust', 'producer': 'HathiTrust Image Server / PDF::API3', 'creationDate': 'D:20160322154515Z', 'modDate': ""D:20160328065047-07'00'"", 'trapped': '', 'encryption': None}",2021-06-02 11:49:43,,0 days 00:10:53.695568
8,2020-12-29 Neophyte Oath.pdf,../../38. Rosicrucian/2020-12-29 Neophyte Oath.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060758Z00'00'"", 'modDate': ""D:20201229060758Z00'00'"", 'trapped': '', 'encryption': None}",2021-06-02 12:00:37,,0 days 00:00:03.333671
9,A - Hail Neophite.pdf,../../38. Rosicrucian/A - Hail Neophite.pdf,1.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': ""D:20200401154912+01'00'"", 'modDate': ""D:20200608144633+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:00:41,,0 days 00:00:03.200719
10,A - Mandamus - 01.pdf,../../38. Rosicrucian/A - Mandamus - 01.pdf,20.0,"{'format': 'PDF 1.7', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20151106162240Z', 'modDate': ""D:20200608144633+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:00:44,,0 days 00:00:56.583560
11,A - Mandamus - 02.pdf,../../38. Rosicrucian/A - Mandamus - 02.pdf,16.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20140113134249Z', 'modDate': ""D:20200608144636+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:01:40,,0 days 00:00:44.521743
12,A - Mandamus - 03.pdf,../../38. Rosicrucian/A - Mandamus - 03.pdf,12.0,"{'format': 'PDF 1.6', 'title': 'rf002-2.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608104300Z', 'modDate': ""D:20200608144637+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:02:25,,0 days 00:00:33.110526
13,A - Mandamus - 04.pdf,../../38. Rosicrucian/A - Mandamus - 04.pdf,12.0,"{'format': 'PDF 1.6', 'title': 'rf002-3.pmd', 'author': 'simon', 'subject': '', 'keywords': '', 'creator': 'PageMaker 7.0', 'producer': 'Acrobat Distiller 6.0.1 (Windows)', 'creationDate': ""D:20041020112930+01'00'"", 'modDate': ""D:20200608144637+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:02:58,,0 days 00:00:31.876911
14,A - Mandamus - 05.pdf,../../38. Rosicrucian/A - Mandamus - 05.pdf,12.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20140113152538Z', 'modDate': ""D:20200608144638+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:03:30,,0 days 00:00:31.873566
15,A - Mandamus - 06.pdf,../../38. Rosicrucian/A - Mandamus - 06.pdf,12.0,"{'format': 'PDF 1.6', 'title': 'rf003-1.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010611135020Z', 'modDate': ""D:20200608144639+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:04:02,,0 days 00:00:31.833949
16,A - Mandamus - 07.pdf,../../38. Rosicrucian/A - Mandamus - 07.pdf,12.0,"{'format': 'PDF 1.6', 'title': 'rf003-2.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010611135934Z', 'modDate': ""D:20200608144640+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:04:34,,0 days 00:00:30.327399
17,A - Mandamus - 08.pdf,../../38. Rosicrucian/A - Mandamus - 08.pdf,16.0,"{'format': 'PDF 1.6', 'title': 'rf003-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010611141453Z', 'modDate': ""D:20200608144641+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:05:04,,0 days 00:00:43.464567
18,A - Positio RC .pdf,../../38. Rosicrucian/A - Positio RC .pdf,26.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20140123134750Z', 'modDate': ""D:20200608144639+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:05:48,,0 days 00:01:21.251876
19,A E Waite The Real History of the Rosicrucians 1887.pdf,../../38. Rosicrucian/A E Waite The Real History of the Rosicrucians 1887.pdf,451.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Acrobat 3.0 Import Plug-in', 'producer': 'Pixel Translations (PIXPDF Ver.1.35)', 'creationDate': 'D:20030920131616Z', 'modDate': ""D:20040122222722-05'00'"", 'trapped': '', 'encryption': None}",2021-06-02 12:07:09,,0 days 00:25:39.365040
20,A Rosicrucian Notebook.pdf,../../38. Rosicrucian/A Rosicrucian Notebook.pdf,314.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe Acrobat 8.0 Combine Files', 'producer': 'VueScan', 'creationDate': ""D:20100706200352-05'00'"", 'modDate': ""D:20100706201756-05'00'"", 'trapped': '', 'encryption': None}",2021-06-02 12:32:49,,0 days 00:17:46.757293
21,Atrium I No 9 (1).pdf,../../38. Rosicrucian/Atrium I No 9 (1).pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf006-2.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608125514Z', 'modDate': ""D:20200608144647+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:50:36,,0 days 00:00:37.006637
22,B - 2020-12-29 Neophyte Initiation Report.pdf,../../38. Rosicrucian/B - 2020-12-29 Neophyte Initiation Report.pdf,1.0,"{'format': 'PDF 1.4', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': '', 'producer': 'iOS Version 14.2 (Build 18B92) Quartz PDFContext', 'creationDate': ""D:20201229060720Z00'00'"", 'modDate': ""D:20201229060720Z00'00'"", 'trapped': '', 'encryption': None}",2021-06-02 12:51:13,,0 days 00:00:04.183204
23,B - Analytical Series No. 1.pdf,../../38. Rosicrucian/B - Analytical Series No. 1.pdf,20.0,"{'format': 'PDF 1.7', 'title': 'rf007-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608114817Z', 'modDate': ""D:20200608144651+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:51:17,,0 days 00:00:45.144336
24,B - Appelatio RC.pdf,../../38. Rosicrucian/B - Appelatio RC.pdf,36.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20140113150014Z', 'modDate': ""D:20200608144646+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:52:02,,0 days 00:01:21.542824
25,B - Atrium I - Initiation.pdf,../../38. Rosicrucian/B - Atrium I - Initiation.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf004-1.pmd', 'author': 'Administrator', 'subject': '', 'keywords': '', 'creator': 'PageMaker 7.0', 'producer': 'Acrobat Distiller 5.0 (Windows)', 'creationDate': 'D:20020617094253Z', 'modDate': ""D:20200608144642+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:53:24,,0 days 00:00:42.604590
26,B - Atrium I - No. 01.pdf,../../38. Rosicrucian/B - Atrium I - No. 01.pdf,16.0,"{'format': 'PDF 1.7', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20200323123510Z', 'modDate': ""D:20200608144642+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:54:07,,0 days 00:00:50.635493
